Product ID,Name,Category,Brand,Department,Retail Price,Unit Cost,Product Profit Margin,Product Profit Margin (%),Total Sales
14235,Indestructable Aluminum Aluma Wallet - RED,Accessories,marshal,Women,0.02,0.01,0.01,50,0.12
14159,Set of 2 - Replacement Insert For Checkbook Wallets Card Or Picture Insert,Accessories,Made in USA,Women,0.49,0.18,0.31,63.27,1.96
14202,GENUINE LEATHER SNAP ON STUDDED WHITE PIANO BELT FITS ANY BUCKLE,Accessories,H2W,Women,1.5,0.62,0.88,58.67,7.5
28700,Wayfarer Style Sunglasses Dark Lens Black Frame,Accessories,Wayfayrer,Men,1.5,0.61,0.89,59.33,9
13629,Solid Color Leather Adjustable Skinny Belt with,Accessories,boxed-gifts,Women,1.51,0.64,0.87,57.62,7.55
13659,Blank Long Cuff Beanie Cap (Choose Many Colors Available),Accessories,Star,Women,1.82,0.75,1.07,58.79,10.92
15332,Blank Long Cuff Beanie Cap (Choose Many Colors Available),Plus,Star,Women,1.82,0.89,0.93,51.1,12.74
3049,Pink Ribbon Breast Cancer Awareness Knee High Socks Great for Sports Teams Fundraising Relay for Life Walk Survivor (Style 26),Active,Palmetto Fundraising,Women,1.95,0.92,1.03,52.82,15.6
9043,Pink Ribbon Breast Cancer Awareness Knee High Socks Great for Sports Teams Fundraising Relay for Life Walk Survivor (Style 26),Socks & Hosiery,Palmetto Fundraising,Women,1.95,0.77,1.18,60.51,15.6
14549,Motherhood Maternity: Bra Back Extender,Maternity,Motherhood Maternity,Women,1.98,0.78,1.2,60.61,21.78
28913,TopTie Mens Black & White Checkerboard Pre-Tied Satin Formal Bow Tie,Accessories,TopTie,Men,2.59,1.07,1.52,58.69,12.95
15395,Retractable Colorful Rhinestone Lanyards with Breakaway Feature ID Badge Holder & Key Chain,Plus,Coloriffics,Women,2.67,1.42,1.25,46.82,32.04
28774,TopTie Unisex Fashion Leopard Spotted Slim Tan & Black Bow tie,Accessories,TopTie,Men,2.78,0.99,1.79,64.39,13.9
28689,Black Terry 'Y' Suspenders,Accessories,CTM,Men,2.8,1.25,1.55,55.36,22.4
14170,HDE Ladies Fashion Leather Skinny Belt with Bow Buckle & Gold Accents,Accessories,HDE,Women,2.95,1.19,1.76,59.66,29.5
15349,Unisex Chequered Arab Arafat Shemagh Kafiyah Desert Style Scarf Throw - 17 Gorgeous Colours while stocks last!,Plus,Pashminas4u,Women,2.95,1.57,1.38,46.78,11.8
29008,Designer Bow Ties for Men & Boys by Tok Tok Designs (Y101),Accessories,Tok Tok Designs,Men,2.95,1.19,1.76,59.66,23.6
28589,Designer Bow Ties for Men & Boys by Tok Tok Designs (Y102 Burgundy),Accessories,Tok Tok Designs,Men,2.95,1.3,1.65,55.93,17.7
9220,Pink Ribbon Breast Cancer Awareness Relay for Life Knee Socks Great for Fundraising Walk Survivor (Style 05),Socks & Hosiery,Palmetto Fundraising,Women,2.95,1.13,1.82,61.69,17.7
13662,Unisex Chequered Arab Arafat Shemagh Kafiyah Desert Style Scarf Throw - 17 Gorgeous Colours while stocks last!,Accessories,Pashminas4u,Women,2.95,1.27,1.68,56.95,11.8
28862,Designer Bow Ties for Men & Boys by Tok Tok Designs (Y63),Accessories,Tok Tok Designs,Men,2.95,1.24,1.71,57.97,17.7
9621,Alivila.Y Fashion Sexy Lace Lingerie Sleepwear Sleep Dress Set With G-String 402,Sleep & Lounge,Alivila.Y Fashion,Women,2.99,1.94,1.05,35.12,20.93
15531,Aviator Sunglasses Mirror Lens Silver Metal Frame 01,Plus,Urban Boundaries Eyewear,Women,2.99,1.64,1.35,45.15,17.94
12351,Alivila.Y Fashion Sexy Lace Long Sleeve Lingerie Sleepwear Sleep Dress Set With G-String 481,Intimates,Alivila.Y Fashion,Women,2.99,1.46,1.53,51.17,14.95
12664,Skyblue Plain Color Cotton Ribbon Adjustable Elastic Bra Strap One Size,Intimates,Skyblue,Women,2.99,1.54,1.45,48.49,8.97
28951,Nice Shades Black One Size Canvas Military Web Belt With Black Slider Buckle. Many Colors Available 56,Accessories,Nice Shades,Men,3,1.27,1.73,57.67,45
28972,TopTie Mens Necktie Solid Color Silver Ties Formal Neck ties Gift Ideas,Accessories,TopTie,Men,3.09,1.17,1.92,62.14,27.81
12536,Individual Bra Extenders,Intimates,Extenders,Women,1.75,1.01,0.74,42.29,15.75
9204,Pink Ribbon Breast Cancer Awareness Knee High Socks Great for Sports Teams Fundraising Relay for Life Walk Survivor (Style 21),Socks & Hosiery,Palmetto Fundraising,Women,1.95,0.77,1.18,60.51,9.75
29064,Designer Bow Ties for Men & Boys by Tok Tok Designs (Y166),Accessories,Tok Tok Designs,Men,2.95,1.3,1.65,55.93,14.75
12265,Alivila.Y Fashion Sexy Lace & Sheer Net Lingerie Sleepwear Sleep Dress Set With G-String 393,Intimates,Alivila.Y Fashion,Women,2.99,1.62,1.37,45.82,11.96
628,Hyp Women's Short Sleeve Neptune Cotton Raglan T-shirt HY103,Tops & Tees,HYP,Women,3.11,1.84,1.27,40.84,15.55
15248,Cashmere Feel Unisex Pashmina Scarf - Plaid/Checks/Houndtooth Available,Plus,Scarf_tradinginc,Women,3.17,1.71,1.46,46.06,28.53
29026,TopTie Unisex New Fashion Black and White Plaid Skinny 2 inch Necktie Discount NeckTies,Accessories,TopTie,Men,3.29,1.38,1.91,58.05,19.74
12657,Allegra K 5 Pcs Bra Beige Adjustable Extender Extenders 2 Hooks,Intimates,Allegra K,Women,3.39,1.77,1.62,47.79,27.12
13943,Blues Brothers Wayfarer Dark Black Sun Glasses (More Colors),Accessories,H2W,Women,3.4,1.45,1.95,57.35,10.2
28715,EarPro Fleece Ear Warmers (6 colors to choose from) Very Warm!,Accessories,H2W,Men,3.48,1.32,2.16,62.07,10.44
13696,Cotton Handkerchief with Large Monogram Embroidery in Blue Pink Yellow or White,Accessories,Greatlookz,Women,3.5,1.37,2.13,60.86,24.5
15419,Cotton Handkerchief with Large Monogram Embroidery in Blue Pink Yellow or White,Plus,Greatlookz,Women,3.5,1.75,1.75,50,10.5
24843,Sock Co. 100% Cotton Lisle Non-Binding Dress Sock,Socks,Sock Company,Men,3.6,2.28,1.32,36.67,18
28395,Black Unisex Warm Half Finger Stretchy Knit Gloves,Accessories,Luxury Divas,Men,3.8,1.38,2.42,63.68,49.4
